width,height,aspect_ratio,r_mean,r_std,r_hist_00,r_hist_01,r_hist_02,r_hist_03,r_hist_04,r_hist_05,r_hist_06,r_hist_07,g_mean,g_std,g_hist_00,g_hist_01,g_hist_02,g_hist_03,g_hist_04,g_hist_05,g_hist_06,g_hist_07,b_mean,b_std,b_hist_00,b_hist_01,b_hist_02,b_hist_03,b_hist_04,b_hist_05,b_hist_06,b_hist_07,brightness_mean,brightness_std,image_id,file_name,category,resolved_path
650,650,1.0,0.29544296860694885,0.1505434513092041,1.31982421875,1.98583984375,2.2763671875,1.56787109375,0.6787109375,0.17138671875,0.0,0.0,0.2733386754989624,0.1659717559814453,1.69482421875,2.24560546875,1.92431640625,1.12451171875,0.79638671875,0.21435546875,0.0,0.0,0.20998944342136383,0.17123526334762573,3.2822265625,2.12109375,0.87744140625,1.078125,0.45654296875,0.1845703125,0.0,0.0,0.25959035754203796,0.1667994260787964,img_0002,img_0002.jpg,alice,..\..\data\raw\images\img_0002.jpg
650,650,1.0,0.5016738176345825,0.21030639111995697,0.1201171875,0.677734375,1.7177734375,1.74560546875,1.59375,1.060546875,0.59130859375,0.4931640625,0.5054488778114319,0.20402279496192932,0.00146484375,0.73291015625,1.78466796875,1.65869140625,1.607421875,1.17822265625,0.52392578125,0.5126953125,0.4744933247566223,0.21621789038181305,0.025390625,1.23779296875,1.8896484375,1.52197265625,1.33251953125,0.93212890625,0.681640625,0.37890625,0.4938720464706421,0.21069304645061493,img_0007,img_0007.jpg,alice,..\..\data\raw\images\img_0007.jpg
592,800,1.3513513513513513,0.8657293319702148,0.1314723640680313,0.0,0.00341796875,0.017578125,0.115234375,0.3916015625,0.82421875,2.3017578125,4.34619140625,0.8247379660606384,0.16668160259723663,0.0,0.0068359375,0.07861328125,0.31298828125,0.90673828125,0.8583984375,2.0703125,3.76611328125,0.825107753276825,0.1645534336566925,0.0,0.00537109375,0.06005859375,0.30419921875,0.92138671875,0.92333984375,2.017578125,3.76806640625,0.8385249972343445,0.15626446902751923,img_0015,img_0015.jpg,alice,..\..\data\raw\images\img_0015.jpg
682,1023,1.5,0.9298257827758789,0.06657513976097107,0.0,0.0009765625,0.0048828125,0.017578125,0.05029296875,0.177734375,0.69580078125,7.052734375,0.925910472869873,0.06656651943922043,0.0,0.0009765625,0.0048828125,0.0185546875,0.05126953125,0.189453125,0.73095703125,7.00390625,0.9102362394332886,0.06646789610385895,0.0,0.0009765625,0.0068359375,0.02001953125,0.05712890625,0.22998046875,0.89404296875,6.791015625,0.9219908118247986,0.06707273423671722,img_0018,img_0018.jpg,alice,..\..\data\raw\images\img_0018.jpg
682,1023,1.5,0.9309099912643433,0.06405217945575714,0.0,0.001953125,0.00341796875,0.017578125,0.04443359375,0.1474609375,0.6806640625,7.1044921875,0.926998496055603,0.06402894109487534,0.0,0.001953125,0.00390625,0.0185546875,0.04443359375,0.1552734375,0.72216796875,7.0537109375,0.9113147258758545,0.06401551514863968,0.0,0.001953125,0.00390625,0.02099609375,0.0556640625,0.18994140625,0.8779296875,6.849609375,0.9230744242668152,0.06458962708711624,img_0022,img_0022.jpg,alice,..\..\data\raw\images\img_0022.jpg
620,460,1.3478260869565217,0.8168466091156006,0.2569231688976288,0.25732421875,0.22021484375,0.23095703125,0.29736328125,0.587890625,0.70849609375,0.982421875,4.71533203125,0.7248793840408325,0.3493326008319855,0.89501953125,0.49365234375,0.361328125,0.39892578125,0.4013671875,0.5390625,0.5576171875,4.35302734375,0.7321358919143677,0.3346928358078003,0.52197265625,0.79736328125,0.50634765625,0.29541015625,0.3740234375,0.61572265625,0.5517578125,4.33740234375,0.757953941822052,0.3190041780471802,img_0023,img_0023.jpg,alice,..\..\data\raw\images\img_0023.jpg
997,1024,1.0270812437311936,0.8367864489555359,0.1349758803844452,0.0,0.009765625,0.28076171875,0.2197265625,0.1455078125,0.17138671875,2.65185546875,4.52099609375,0.3418564796447754,0.13953225314617157,0.02392578125,0.4755859375,6.22216796875,0.24267578125,0.4990234375,0.18212890625,0.3349609375,0.01953125,0.2948622703552246,0.1558833122253418,0.15087890625,4.70556640625,2.04443359375,0.15185546875,0.16162109375,0.57373046875,0.2119140625,0.0,0.49116846919059753,0.2841767966747284,img_0025,img_0025.jpg,alice,..\..\data\raw\images\img_0025.jpg
931,1024,1.099892588614393,0.5890868902206421,0.2257334589958191,0.22607421875,0.4658203125,0.9677734375,1.11181640625,1.4296875,1.11572265625,2.4462890625,0.23681640625,0.4778416156768799,0.18945828080177307,0.4609375,0.58544921875,1.228515625,1.74755859375,1.77294921875,2.08544921875,0.119140625,0.0,0.34612107276916504,0.21376155316829681,1.72509765625,0.9638671875,1.634765625,1.35205078125,1.31591796875,1.0009765625,0.00732421875,0.0,0.4710164964199066,0.23247230052947998,img_0026,img_0026.jpg,alice,..\..\data\raw\images\img_0026.jpg
597,800,1.340033500837521,0.8771137595176697,0.22603829205036163,0.115234375,0.20703125,0.1748046875,0.21484375,0.36865234375,0.5107421875,0.5634765625,5.84521484375,0.8667609691619873,0.23349161446094513,0.08740234375,0.224609375,0.2548828125,0.30126953125,0.328125,0.58056640625,0.5771484375,5.64599609375,0.8764490485191345,0.22470735013484955,0.07666015625,0.19970703125,0.23681640625,0.27783203125,0.30712890625,0.4638671875,0.63916015625,5.798828125,0.873441219329834,0.22816090285778046,img_0027,img_0027.jpg,alice,..\..\data\raw\images\img_0027.jpg
600,600,1.0,0.8782051801681519,0.2794603705406189,0.48193359375,0.23291015625,0.1298828125,0.10693359375,0.103515625,0.13623046875,0.24853515625,6.56005859375,0.8733515739440918,0.26664042472839355,0.4169921875,0.16064453125,0.16845703125,0.14990234375,0.1494140625,0.24462890625,0.509765625,6.2001953125,0.8301872611045837,0.32627755403518677,0.7919921875,0.24609375,0.1806640625,0.1474609375,0.11474609375,0.1474609375,0.2998046875,6.07177734375,0.8605813384056091,0.29271700978279114,img_0028,img_0028.jpg,alice,..\..\data\raw\images\img_0028.jpg
